recordedat,age,male,female
2020-12-14,0:5,334,292
2020-12-14,6:14,994,880
2020-12-14,15:19,961,974
2020-12-14,20:29,2994,2963
2020-12-14,30:39,2580,2695
2020-12-14,40:49,2062,2243
2020-12-14,50:59,2059,1967
2020-12-14,60:69,1030,912
2020-12-14,70:79,697,724
2020-12-14,80:89,553,880
2020-12-14,90,128,478
2020-12-07,0:5,300,263
2020-12-07,6:14,907,802
2020-12-07,15:19,876,902
2020-12-07,20:29,2796,2737
2020-12-07,30:39,2395,2457
2020-12-07,40:49,1897,2045
2020-12-07,50:59,1878,1768
2020-12-07,60:69,932,835
2020-12-07,70:79,633,635
2020-12-07,80:89,480,755
2020-12-07,90,105,394
2020-11-30,0:5,271,232
2020-11-30,6:14,837,717
2020-11-30,15:19,818,823
2020-11-30,20:29,2623,2534
2020-11-30,30:39,2212,2270
2020-11-30,40:49,1767,1875
2020-11-30,50:59,1725,1616
2020-11-30,60:69,835,772
2020-11-30,70:79,563,565
2020-11-30,80:89,432,659
2020-11-30,90,90,348
2020-11-23,0:5,247,210
2020-11-23,6:14,768,645
2020-11-23,15:19,757,768
2020-11-23,20:29,2475,2356
2020-11-23,30:39,2049,2081
2020-11-23,40:49,1641,1713
2020-11-23,50:59,1596,1496
2020-11-23,60:69,770,719
2020-11-23,70:79,524,519
2020-11-23,80:89,386,563
2020-11-23,90,84,305
2020-11-16,0:5,222,177
2020-11-16,6:14,652,548
2020-11-16,15:19,666,685
2020-11-16,20:29,2270,2156
2020-11-16,30:39,1847,1861
2020-11-16,40:49,1458,1509
2020-11-16,50:59,1425,1326
2020-11-16,60:69,697,639
2020-11-16,70:79,470,466
2020-11-16,80:89,331,496
2020-11-16,90,62,249
2020-11-09,0:5,185,148
2020-11-09,6:14,535,432
2020-11-09,15:19,542,550
2020-11-09,20:29,2025,1866
2020-11-09,30:39,1610,1598
2020-11-09,40:49,1243,1280
2020-11-09,50:59,1236,1141
2020-11-09,60:69,603,548
2020-11-09,70:79,403,407
2020-11-09,80:89,275,422
2020-11-09,90,46,203
2020-11-02,0:5,140,100
2020-11-02,6:14,410,324
2020-11-02,15:19,411,419
2020-11-02,20:29,1710,1553
2020-11-02,30:39,1335,1279
2020-11-02,40:49,1032,1027
2020-11-02,50:59,1041,944
2020-11-02,60:69,505,471
2020-11-02,70:79,345,337
2020-11-02,80:89,229,358
2020-11-02,90,40,175
2020-10-26,0:5,113,78
2020-10-26,6:14,323,266
2020-10-26,15:19,338,336
2020-10-26,20:29,1386,1285
2020-10-26,30:39,1114,1043
2020-10-26,40:49,862,846
2020-10-26,50:59,878,784
2020-10-26,60:69,432,391
2020-10-26,70:79,299,295
2020-10-26,80:89,204,306
2020-10-26,90,34,156
2020-10-19,0:5,90,69
2020-10-19,6:14,266,221
2020-10-19,15:19,274,282
2020-10-19,20:29,1155,1044
2020-10-19,30:39,937,861
2020-10-19,40:49,726,704
2020-10-19,50:59,772,672
2020-10-19,60:69,367,330
2020-10-19,70:79,269,269
2020-10-19,80:89,185,281
2020-10-19,90,29,144
2020-10-12,0:5,79,63
2020-10-12,6:14,239,193
2020-10-12,15:19,239,255
2020-10-12,20:29,1016,921
2020-10-12,30:39,847,780
2020-10-12,40:49,659,634
2020-10-12,50:59,706,606
2020-10-12,60:69,345,308
2020-10-12,70:79,250,252
2020-10-12,80:89,173,261
2020-10-12,90,27,139
