Altona,Bergedorf,Eimsbüttel,Harburg,Mitte,Nord,Wandsbek,recordedat
121,106,100,208,259,105,271,2021-09-27
159,110,114,173,298,109,269,2021-09-24
159,110,114,173,298,109,269,2021-09-23
159,110,114,173,298,109,269,2021-09-22
159,110,114,173,298,109,269,2021-09-21
205,143,125,301,412,159,226,2021-09-13
233,134,121,316,379,202,343,2021-09-06
244,170,114,207,427,145,376,2021-08-30
267,115,119,195,347,176,294,2021-08-23
220,127,175,236,388,196,323,2021-08-16
167,70,124,170,335,150,195,2021-08-09
100,38,75,70,114,80,178,2021-08-02
66,50,88,48,99,77,131,2021-07-26
46,34,39,22,45,53,55,2021-07-19
21,20,46,12,38,35,42,2021-07-12
24,13,23,14,31,28,30,2021-07-05
16,22,20,18,32,28,43,2021-06-28
16,6,26,21,46,21,73,2021-06-21
46,21,27,26,85,39,59,2021-06-14
67,40,30,47,94,33,83,2021-06-07
64,20,65,35,118,26,82,2021-05-31
94,45,81,91,189,78,152,2021-05-24
148,66,83,93,241,108,175,2021-05-17
214,118,219,134,389,169,351,2021-05-10
245,140,160,231,492,196,409,2021-05-03
298,141,238,237,571,248,455,2021-04-26
320,177,208,327,690,286,587,2021-04-19
350,199,232,280,660,315,674,2021-04-12
369,185,252,336,714,405,605,2021-04-05
320,214,256,352,713,404,629,2021-03-29
320,214,256,352,713,404,629,2021-03-22
200,127,149,306,417,193,328,2021-03-15
168,98,136,245,340,204,315,2021-03-08
173,142,149,203,356,206,296,2021-03-01
153,117,133,138,312,236,257,2021-02-22
185,124,133,133,285,169,257,2021-02-15
161,159,126,106,314,162,302,2021-02-09
176,186,203,147,325,179,420,2021-02-01
256,159,192,177,372,246,440,2021-01-25
238,149,306,219,523,254,429,2021-01-18
443,196,434,340,689,396,585,2021-01-11
392,156,207,250,467,368,554,2021-01-04
378,164,291,303,703,363,557,2020-12-28
365,224,308,296,606,406,810,2020-12-21
281,214,295,195,615,347,682,2020-12-14
297,151,215,137,579,273,574,2020-12-07
223,114,178,188,475,246,497,2020-11-30
290,169,227,269,616,325,637,2020-11-23
381,153,273,359,721,395,687,2020-11-16
562,152,408,336,584,342,767,2020-11-09
340,193,219,258,467,293,664,2020-11-02
243,64,234,197,432,281,400,2020-10-26
163,79,124,96,172,119,208,2020-10-19
93,55,67,60,156,90,181,2020-10-12
63,39,58,70,94,109,156,2020-10-05
69,28,65,46,97,92,123,2020-09-28
79,31,83,43,98,143,181,2020-09-21
88,23,72,41,87,126,105,2020-09-14
79,17,59,21,88,90,73,2020-09-07
47,17,43,22,86,58,74,2020-08-31
49,15,38,39,111,36,67,2020-08-24
64,11,48,54,150,43,83,2020-08-17
41,17,26,48,95,46,84,2020-08-10
14,17,12,28,41,26,63,2020-08-03
6,5,4,14,19,12,41,2020-07-27
