deaths,first_vaccination,hospitalizations,intensivecare,new,recordedat,recovered,second_vaccination,total
1312,125553,259,92,203,2021-03-09,48500,62862,53758
1312,121158,243,87,196,2021-03-08,48300,61786,53555
1312,115478,243,87,170,2021-03-07,48100,59423,53359
1306,115478,243,87,232,2021-03-06,48000,59423,53189
1301,111435,241,79,223,2021-03-05,47800,57915,52957
1296,108141,259,79,268,2021-03-04,47600,56710,52734
1287,104938,257,78,234,2021-03-03,47400,54960,52466
1278,102636,269,85,183,2021-03-02,47100,53887,52232
1272,100548,282,81,258,2021-03-01,47000,52849,52049
1270,96003,282,81,126,2021-02-28,46800,51868,51791
1263,96003,282,81,203,2021-02-27,46600,51868,51665
1257,92826,287,86,188,2021-02-26,46400,50952,51462
1251,89986,290,90,343,2021-02-25,46200,49847,51274
1235,87043,311,88,246,2021-02-24,45900,48305,50931
1224,84688,310,76,161,2021-02-23,45600,46893,50685
1223,,306,75,219,2021-02-22,45400,,50524
1223,,306,75,113,2021-02-21,45200,,50305
1211,,322,79,194,2021-02-19,45200,,49747
1206,,322,79,195,2021-02-18,44200,,49761
1202,,330,83,237,2021-02-17,44200,,49566
1197,,327,81,151,2021-02-16,43900,,49329
1196,,328,74,187,2021-02-15,43600,,49178
1196,,328,74,118,2021-02-14,43500,,48991
1188,,328,74,178,2021-02-13,43100,,48873
1178,,322,72,228,2021-02-12,42900,,48695
1167,,334,71,194,2021-02-11,42600,,48467
1158,,338,75,219,2021-02-10,42200,,48273
1148,,353,81,162,2021-02-09,41900,,48054
1145,,370,73,186,2021-02-08,41600,,47892
1143,,370,73,116,2021-02-07,41300,,47706
1140,,370,73,170,2021-02-06,41100,,47590
1120,,397,80,221,2021-02-05,40900,,47420
1097,,405,79,225,2021-02-04,40600,,47199
1097,,413,85,203,2021-02-03,40200,,46974
1074,,417,85,209,2021-02-02,39900,,46771
1073,,416,84,155,2021-02-01,39500,,46562
1071,,416,84,135,2021-01-31,39000,,46407
1066,,416,84,249,2021-01-30,38800,,46272
1037,,419,85,234,2021-01-29,38500,,46023
1029,,437,90,246,2021-01-28,38300,,45789
1003,,447,95,411,2021-01-27,38000,,45543
990,,459,100,206,2021-01-26,37500,,45132
988,,455,101,201,2021-01-25,37100,,44926
987,,455,101,265,2021-01-24,36600,,44725
976,,455,101,204,2021-01-23,36300,,44460
962,,483,103,330,2021-01-22,36100,,44256
950,,489,101,306,2021-01-21,35900,,43926
935,,506,95,285,2021-01-20,35600,,43620
917,,514,95,251,2021-01-19,35100,,43335
906,,523,92,205,2021-01-18,34600,,43084
904,,523,92,146,2021-01-17,34000,,42879
895,,523,92,378,2021-01-16,33800,,42733
882,,539,93,279,2021-01-15,33400,,42355
865,,549,100,324,2021-01-14,32800,,42076
851,,570,103,396,2021-01-13,32300,,41752
820,,571,102,390,2021-01-12,31700,,41356
820,,555,105,273,2021-01-11,31100,,40966
817,,555,105,211,2021-01-10,30700,,40693
792,,555,105,353,2021-01-09,30400,,40482
763,,566,112,537,2021-01-08,29900,,40129
725,,592,110,433,2021-01-07,29400,,39592
695,,618,109,579,2021-01-06,28800,,39159
671,,607,117,697,2021-01-05,28300,,38580
661,,569,116,132,2021-01-04,27900,,37883
661,,537,109,212,2021-01-03,27500,,37751
658,,537,109,242,2021-01-02,27200,,37539
653,,537,109,308,2021-01-01,27000,,37297
535,,561,113,568,2020-12-31,26700,,36989
509,,544,108,470,2020-12-30,26200,,36421
509,,553,110,462,2020-12-29,25900,,35951
498,,531,110,153,2020-12-28,25600,,35489
498,,516,100,221,2020-12-27,25400,,35336
498,,516,100,297,2020-12-26,25200,,35115
498,,516,100,360,2020-12-25,25100,,34818
498,,541,97,584,2020-12-24,25000,,34458
483,,524,100,562,2020-12-23,24800,,33874
452,,525,103,582,2020-12-22,24500,,33312
452,,485,104,301,2020-12-21,24200,,32730
452,,485,104,309,2020-12-20,24000,,32429
452,,485,104,525,2020-12-19,23900,,32120
426,,491,101,547,2020-12-18,23700,,31595
426,,474,96,485,2020-12-17,23300,,31048
426,,459,93,569,2020-12-16,22800,,30563
405,,441,93,279,2020-12-15,22400,,29994
405,,419,92,303,2020-12-14,22000,,29715
405,,419,92,273,2020-12-13,21600,,29412
405,,419,92,515,2020-12-12,21400,,29139
382,,402,88,418,2020-12-11,21200,,28624
382,,391,86,506,2020-12-10,20900,,28206
382,,401,96,333,2020-12-09,20400,,27700
382,,386,87,281,2020-12-08,20000,,27367
357,,354,90,231,2020-12-07,19500,,27086
357,,354,90,231,2020-12-06,19100,,26855
340,,354,90,347,2020-12-05,18800,,26624
340,,333,89,496,2020-12-04,18400,,26277
340,,327,85,306,2020-12-03,17900,,25781
340,,329,87,326,2020-12-02,17400,,25475
281,,320,88,289,2020-12-01,16900,,25149
281,,312,79,150,2020-11-30,16400,,24860
281,,312,79,104,2020-11-29,16000,,24710
281,,312,79,300,2020-11-28,15800,,24606
281,,309,79,252,2020-11-27,15600,,24306
281,,314,79,360,2020-11-26,15100,,24054
281,,312,88,363,2020-11-25,14600,,23694
281,,311,90,392,2020-11-24,14200,,23331
281,,320,89,237,2020-11-23,13700,,22939
281,,320,89,172,2020-11-22,13400,,22702
281,,320,89,433,2020-11-21,13200,,22530
281,,315,85,362,2020-11-20,12900,,22097
281,,310,79,659,2020-11-19,12400,,21735
281,,311,82,246,2020-11-18,12000,,21076
262,,306,85,424,2020-11-17,11800,,20830
262,,273,77,185,2020-11-16,11600,,20406
262,,273,77,243,2020-11-15,11400,,20221
262,,273,77,528,2020-11-14,11200,,19978
262,,282,71,535,2020-11-13,11000,,19450
262,,282,71,695,2020-11-12,11000,,18950
262,,283,71,396,2020-11-11,10600,,18255
256,,264,68,422,2020-11-10,10400,,17859
256,,240,58,298,2020-11-09,10200,,17437
256,,240,58,285,2020-11-08,10000,,17139
256,,240,58,592,2020-11-07,9900,,16854
256,,235,58,485,2020-11-06,9900,,16262
256,,227,52,647,2020-11-05,9700,,15777
256,,222,51,388,2020-11-04,9300,,15130
256,,204,48,456,2020-11-03,9300,,14742
241,,163,40,251,2020-11-02,9200,,14286
241,,163,40,283,2020-11-01,9000,,14035
